2026-08-11 12:51:22,332 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): api.exchange.coinbase.com:443
2026-08-11 12:51:22,447 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2016-08-13T12%3A00%3A00%2B00%3A00&end=2016-08-25T14%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:22,656 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2016-08-25T14%3A00%3A00%2B00%3A00&end=2016-09-06T16%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:22,872 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2016-09-06T16%3A00%3A00%2B00%3A00&end=2016-09-18T18%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:23,084 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2016-09-18T18%3A00%3A00%2B00%3A00&end=2016-09-30T20%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:23,295 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2016-09-30T20%3A00%3A00%2B00%3A00&end=2016-10-12T22%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:23,507 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2016-10-12T22%3A00%3A00%2B00%3A00&end=2016-10-25T00%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:23,707 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2016-10-25T00%3A00%3A00%2B00%3A00&end=2016-11-06T02%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:23,952 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2016-11-06T02%3A00%3A00%2B00%3A00&end=2016-11-18T04%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:24,168 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2016-11-18T04%3A00%3A00%2B00%3A00&end=2016-11-30T06%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:24,376 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2016-11-30T06%3A00%3A00%2B00%3A00&end=2016-12-12T08%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:24,579 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2016-12-12T08%3A00%3A00%2B00%3A00&end=2016-12-24T10%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:24,795 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2016-12-24T10%3A00%3A00%2B00%3A00&end=2017-01-05T12%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:25,064 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-01-05T12%3A00%3A00%2B00%3A00&end=2017-01-17T14%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:25,334 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-01-17T14%3A00%3A00%2B00%3A00&end=2017-01-29T16%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:25,545 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-01-29T16%3A00%3A00%2B00%3A00&end=2017-02-10T18%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:25,759 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-02-10T18%3A00%3A00%2B00%3A00&end=2017-02-22T20%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:25,975 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-02-22T20%3A00%3A00%2B00%3A00&end=2017-03-06T22%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:26,187 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-03-06T22%3A00%3A00%2B00%3A00&end=2017-03-19T00%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:26,430 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-03-19T00%3A00%3A00%2B00%3A00&end=2017-03-31T02%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
2026-08-11 12:51:26,647 | DEBUG | urllib3.connectionpool | https://api.exchange.coinbase.com:443 "GET /products/BTC-USD/candles?granularity=3600&start=2017-03-31T02%3A00%3A00%2B00%3A00&end=2017-04-12T04%3A00%3A00%2B00%3A00 HTTP/1.1" 200 None
